bundle,type,place,date
com.wlingua.curso,education|apps_topgrossing,0,2020-12-04 07:09:20.228393
com.wlingua.curso,education|apps_movers_shakers,0,2020-12-04 07:09:22.42589
com.wlingua.curso,education|apps_topselling_paid,0,2020-12-04 07:09:23.315181
com.quizlet.quizletandroid,education|apps_topselling_free,45,2020-12-04 07:12:16.120684
com.quizlet.quizletandroid,education|apps_topgrossing,32,2020-12-04 07:12:21.361951
com.quizlet.quizletandroid,education|apps_movers_shakers,0,2020-12-04 07:12:23.559392
com.quizlet.quizletandroid,education|apps_topselling_paid,0,2020-12-04 07:12:24.477678
com.memrise.android.memrisecompanion,education|apps_topselling_free,247,2020-12-04 07:15:06.934343
com.memrise.android.memrisecompanion,education|apps_topgrossing,10,2020-12-04 07:15:10.970531
com.memrise.android.memrisecompanion,education|apps_movers_shakers,0,2020-12-04 07:15:13.323418
com.memrise.android.memrisecompanion,education|apps_topselling_paid,0,2020-12-04 07:15:14.290472
com.busuu.android.enc,education|apps_topselling_free,61,2020-12-04 07:18:10.249203
com.busuu.android.enc,education|apps_topgrossing,9,2020-12-04 07:18:13.812613
com.busuu.android.enc,education|apps_movers_shakers,0,2020-12-04 07:18:16.02321
com.busuu.android.enc,education|apps_topselling_paid,0,2020-12-04 07:18:17.03836
com.duolingo,education|apps_topselling_free,12,2020-12-04 07:27:07.90427
com.duolingo,education|apps_topgrossing,6,2020-12-04 07:27:11.445924
com.duolingo,education|apps_movers_shakers,0,2020-12-04 07:27:13.574115
com.duolingo,education|apps_topselling_paid,0,2020-12-04 07:27:14.586723
me.mycake,education|apps_topselling_free,6,2020-12-04 07:29:39.382673
me.mycake,education|apps_topgrossing,0,2020-12-04 07:29:42.853966
me.mycake,education|apps_movers_shakers,16,2020-12-04 07:29:45.02165
me.mycake,education|apps_topselling_paid,0,2020-12-04 07:29:46.005128
com.lingualeo.android,education|apps_topselling_free,49,2020-12-04 07:32:28.409022
com.lingualeo.android,education|apps_topgrossing,1,2020-12-04 07:32:32.144422
com.lingualeo.android,education|apps_movers_shakers,125,2020-12-04 07:32:34.533084
com.lingualeo.android,education|apps_topselling_paid,0,2020-12-04 07:32:35.492962
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_free,224,2020-12-05 07:02:53.716329
air.com.rosettastone.mobile.CoursePlayer,education|apps_topgrossing,22,2020-12-05 07:02:58.129023
air.com.rosettastone.mobile.CoursePlayer,education|apps_movers_shakers,244,2020-12-05 07:03:00.465375
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_paid,0,2020-12-05 07:03:01.532
com.ewa.ewaapp,education|apps_topselling_free,8,2020-12-05 07:06:08.520927
com.ewa.ewaapp,education|apps_topgrossing,3,2020-12-05 07:06:11.808465
com.ewa.ewaapp,education|apps_movers_shakers,2,2020-12-05 07:06:13.824288
com.ewa.ewaapp,education|apps_topselling_paid,0,2020-12-05 07:06:14.84042
com.atistudios.mondly.languages,education|apps_topselling_free,314,2020-12-05 07:09:14.264418
com.atistudios.mondly.languages,education|apps_topgrossing,28,2020-12-05 07:09:17.803408
com.atistudios.mondly.languages,education|apps_movers_shakers,0,2020-12-05 07:09:19.940731
com.atistudios.mondly.languages,education|apps_topselling_paid,0,2020-12-05 07:09:20.928196
com.wlingua.curso,education|apps_topselling_free,0,2020-12-05 07:12:08.015567
com.wlingua.curso,education|apps_topgrossing,0,2020-12-05 07:12:11.578834
com.wlingua.curso,education|apps_movers_shakers,0,2020-12-05 07:12:13.6811
com.wlingua.curso,education|apps_topselling_paid,0,2020-12-05 07:12:14.597722
com.quizlet.quizletandroid,education|apps_topselling_free,47,2020-12-05 07:15:10.310101
com.quizlet.quizletandroid,education|apps_topgrossing,33,2020-12-05 07:15:13.641227
com.quizlet.quizletandroid,education|apps_movers_shakers,0,2020-12-05 07:15:15.791111
com.quizlet.quizletandroid,education|apps_topselling_paid,0,2020-12-05 07:15:16.716917
com.memrise.android.memrisecompanion,education|apps_topselling_free,252,2020-12-05 07:17:57.742129
com.memrise.android.memrisecompanion,education|apps_topgrossing,10,2020-12-05 07:18:01.569905
com.memrise.android.memrisecompanion,education|apps_movers_shakers,0,2020-12-05 07:18:03.716635
com.memrise.android.memrisecompanion,education|apps_topselling_paid,0,2020-12-05 07:18:04.714025
com.busuu.android.enc,education|apps_topselling_free,66,2020-12-05 07:21:00.298807
com.busuu.android.enc,education|apps_topgrossing,9,2020-12-05 07:21:03.57374
com.busuu.android.enc,education|apps_movers_shakers,0,2020-12-05 07:21:05.762334
com.busuu.android.enc,education|apps_topselling_paid,0,2020-12-05 07:21:06.630068
com.duolingo,education|apps_topselling_free,12,2020-12-05 07:29:52.674769
com.duolingo,education|apps_topgrossing,5,2020-12-05 07:29:56.360896
com.duolingo,education|apps_movers_shakers,0,2020-12-05 07:29:58.436605
com.duolingo,education|apps_topselling_paid,0,2020-12-05 07:29:59.348096
me.mycake,education|apps_topselling_free,6,2020-12-05 07:32:17.545653
me.mycake,education|apps_topgrossing,0,2020-12-05 07:32:20.941901
me.mycake,education|apps_movers_shakers,23,2020-12-05 07:32:23.065049
me.mycake,education|apps_topselling_paid,0,2020-12-05 07:32:23.999403
com.lingualeo.android,education|apps_topselling_free,44,2020-12-05 07:35:08.791163
com.lingualeo.android,education|apps_topgrossing,1,2020-12-05 07:35:12.369984
com.lingualeo.android,education|apps_movers_shakers,4,2020-12-05 07:35:14.348932
com.lingualeo.android,education|apps_topselling_paid,0,2020-12-05 07:35:15.317294
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_free,211,2020-12-06 07:06:00.337834
air.com.rosettastone.mobile.CoursePlayer,education|apps_topgrossing,22,2020-12-06 07:06:03.827566
air.com.rosettastone.mobile.CoursePlayer,education|apps_movers_shakers,0,2020-12-06 07:06:05.672884
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_paid,0,2020-12-06 07:06:06.600696
com.ewa.ewaapp,education|apps_topselling_free,8,2020-12-06 07:08:57.384997
com.ewa.ewaapp,education|apps_topgrossing,2,2020-12-06 07:09:00.866561
com.ewa.ewaapp,education|apps_movers_shakers,0,2020-12-06 07:09:02.497343
com.ewa.ewaapp,education|apps_topselling_paid,0,2020-12-06 07:09:03.380569
com.atistudios.mondly.languages,education|apps_topselling_free,342,2020-12-06 07:12:01.157767
com.atistudios.mondly.languages,education|apps_topgrossing,26,2020-12-06 07:12:04.928904
com.atistudios.mondly.languages,education|apps_movers_shakers,0,2020-12-06 07:12:06.60019
com.atistudios.mondly.languages,education|apps_topselling_paid,0,2020-12-06 07:12:07.532096
